,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,udp_source_port,udp_destination_port,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,source_port,destination_port,tcp_flags,sequence_number,acknowledgement,tls
128,192.168.159.238,146.75.53.164,6,TCP,66,129,2024-03-27 02:47:31.718508,1711504051.718507900,,,,,,,,,,60366,443,0x0010,786,171242,
129,192.168.159.238,146.75.53.164,6,TCP,54,130,2024-03-27 02:47:31.718534,1711504051.718533700,,,,,,,,,,60366,443,0x0010,786,172766,
130,192.168.159.238,146.75.53.164,6,TCP,54,131,2024-03-27 02:47:31.718537,1711504051.718536700,,,,,,,,,,60366,443,0x0010,786,180806,
131,146.75.53.164,192.168.159.238,6,TCP,2166,132,2024-03-27 02:47:31.720988,1711504051.720988100,,,,,,,,,,443,60366,0x0018,180806,786,
132,192.168.159.238,146.75.53.164,6,TCP,54,133,2024-03-27 02:47:31.721006,1711504051.721005600,,,,,,,,,,60366,443,0x0010,786,182918,
133,146.75.53.164,192.168.159.238,6,TLS,2734,134,2024-03-27 02:47:31.721418,1711504051.721418000,,,,,,,,,,443,60366,0x0010,182918,786,TLS_Packet_Captured
134,192.168.159.238,146.75.53.164,6,TCP,54,135,2024-03-27 02:47:31.721458,1711504051.721458400,,,,,,,,,,60366,443,0x0010,786,185598,
135,146.75.53.164,192.168.159.238,6,TCP,1394,136,2024-03-27 02:47:31.721867,1711504051.721866500,,,,,,,,,,443,60366,0x0010,185598,786,
136,192.168.159.238,146.75.53.164,6,TCP,54,137,2024-03-27 02:47:31.721880,1711504051.721880300,,,,,,,,,,60366,443,0x0010,786,186938,
137,146.75.53.164,192.168.159.238,6,TCP,3562,138,2024-03-27 02:47:31.733783,1711504051.733782900,,,,,,,,,,443,60366,0x0018,186938,786,
138,192.168.159.238,146.75.53.164,6,TCP,54,139,2024-03-27 02:47:31.733801,1711504051.733801000,,,,,,,,,,60366,443,0x0010,786,190446,
139,146.75.53.164,192.168.159.238,6,TLS,8773,140,2024-03-27 02:47:31.733838,1711504051.733837900,,,,,,,,,,443,60366,0x0019,190446,786,TLS_Packet_Captured
140,146.75.53.164,192.168.159.238,6,_WS.MALFORMED,733,141,2024-03-27 02:47:31.733838,1711504051.733838000,,,,,,,,,,443,60366,0x0019,198486,786,
141,192.168.159.238,146.75.53.164,6,TCP,54,142,2024-03-27 02:47:31.733847,1711504051.733846700,,,,,,,,,,60366,443,0x0010,786,199166,
142,192.168.159.238,146.75.53.164,6,TCP,66,143,2024-03-27 02:47:31.733850,1711504051.733849500,,,,,,,,,,60366,443,0x0010,786,199166,
143,192.168.159.238,146.75.53.164,6,TCP,54,144,2024-03-27 02:47:31.734279,1711504051.734279100,,,,,,,,,,60366,443,0x0014,786,199166,
144,192.168.159.238,192.168.144.1,17,DNS,75,145,2024-03-27 02:47:31.735911,1711504051.735910900,57669,53,www.nytimes.com,,1,0x0001,1,0,0,,,,,,
145,192.168.159.238,192.168.144.1,17,DNS,75,146,2024-03-27 02:47:31.735916,1711504051.735915700,57669,53,www.nytimes.com,,28,0x0001,1,0,0,,,,,,
146,192.168.144.1,192.168.159.238,17,DNS,302,147,2024-03-27 02:47:31.736814,1711504051.736813500,53,57669,www.nytimes.com,www.nytimes.com,1,0x0001,1,4,0,,,,,,
147,192.168.144.1,192.168.159.238,17,DNS,264,148,2024-03-27 02:47:31.737255,1711504051.737255400,53,57669,www.nytimes.com,www.nytimes.com,28,0x0001,1,3,0,,,,,,
148,192.168.159.238,146.75.53.164,6,TCP,74,149,2024-03-27 02:47:31.737528,1711504051.737527700,,,,,,,,,,60368,443,0x0002,0,0,
149,146.75.53.164,192.168.159.238,6,TCP,66,150,2024-03-27 02:47:31.781327,1711504051.781327600,,,,,,,,,,443,60368,0x0012,0,1,
150,192.168.159.238,146.75.53.164,6,TCP,54,151,2024-03-27 02:47:31.781376,1711504051.781376000,,,,,,,,,,60368,443,0x0010,1,1,
151,192.168.159.238,146.75.53.164,6,TLS,571,152,2024-03-27 02:47:31.833890,1711504051.833889900,,,,,,,,,,60368,443,0x0018,1,1,TLS_Packet_Captured
152,146.75.53.164,192.168.159.238,6,TCP,54,153,2024-03-27 02:47:31.893939,1711504051.893938500,,,,,,,,,,443,60368,0x0010,1,518,
153,146.75.53.164,192.168.159.238,6,TLS,2734,154,2024-03-27 02:47:31.893939,1711504051.893938700,,,,,,,,,,443,60368,0x0018,1,518,TLS_Packet_Captured
154,192.168.159.238,146.75.53.164,6,TCP,54,155,2024-03-27 02:47:31.893960,1711504051.893960200,,,,,,,,,,60368,443,0x0010,518,2681,
155,146.75.53.164,192.168.159.238,6,TLS,1064,156,2024-03-27 02:47:31.894337,1711504051.894336800,,,,,,,,,,443,60368,0x0018,2681,518,TLS_Packet_Captured
156,192.168.159.238,146.75.53.164,6,TCP,54,157,2024-03-27 02:47:31.894348,1711504051.894348300,,,,,,,,,,60368,443,0x0010,518,3691,
157,192.168.159.238,146.75.53.164,6,TLS,147,158,2024-03-27 02:47:31.895683,1711504051.895683000,,,,,,,,,,60368,443,0x0018,518,3691,TLS_Packet_Captured
158,146.75.53.164,192.168.159.238,6,TLS,105,159,2024-03-27 02:47:31.929479,1711504051.929479200,,,,,,,,,,443,60368,0x0018,3691,611,TLS_Packet_Captured
159,192.168.159.238,146.75.53.164,6,TCP,54,160,2024-03-27 02:47:31.929498,1711504051.929498500,,,,,,,,,,60368,443,0x0010,611,3742,
160,192.168.159.238,146.75.53.164,6,TLS,229,161,2024-03-27 02:47:31.929837,1711504051.929836400,,,,,,,,,,60368,443,0x0018,611,3742,TLS_Packet_Captured
161,146.75.53.164,192.168.159.238,6,TCP,54,162,2024-03-27 02:47:31.934867,1711504051.934867200,,,,,,,,,,443,60368,0x0010,3691,611,
162,192.168.159.238,146.75.53.164,6,TCP,54,163,2024-03-27 02:47:31.934884,1711504051.934884000,,,,,,,,,,60368,443,0x0010,786,3742,
163,146.75.53.164,192.168.159.238,6,TLS,2524,164,2024-03-27 02:47:31.971726,1711504051.971725600,,,,,,,,,,443,60368,0x0018,3742,786,TLS_Packet_Captured
164,192.168.159.238,146.75.53.164,6,TCP,54,165,2024-03-27 02:47:31.971769,1711504051.971769000,,,,,,,,,,60368,443,0x0010,786,6212,
